,DDOG_Revenue_YoY,AWS_YoY,Azure_YoY,GoogleCloud_YoY,Cloud_Index_Raw
DDOG_Revenue_YoY,1.0,0.762641898864809,0.5812237925392313,0.6821465428276574,0.6780185758513931
AWS_YoY,0.762641898864809,1.0,0.8552292947362975,0.9525283797729618,0.9422084623323014
Azure_YoY,0.5812237925392313,0.8552292947362975,1.0,0.8541913951067631,0.9361854658399761
GoogleCloud_YoY,0.6821465428276574,0.9525283797729618,0.8541913951067631,1.0,0.9752321981424149
Cloud_Index_Raw,0.6780185758513931,0.9422084623323014,0.9361854658399761,0.9752321981424149,1.0
