Quarter,Y_actual,Y_prev,n_train,pred_Ridge_Cloud+Trends,pred_Ridge_AR+Cloud+Trends
2024 Q3,26.02,26.66,8,29.6383,28.4719
2024 Q4,25.11,26.02,9,28.8748,27.7953
2025 Q1,24.59,25.11,10,30.4968,28.7232
2025 Q2,28.12,24.59,11,28.0053,26.8238
2025 Q3,28.35,28.12,12,27.6318,27.4214
2025 Q4,29.21,28.35,13,33.6857,31.3596
2026 Q1,32.15,29.21,14,33.5726,31.5018
2026 Q2,35.64,32.15,15,36.9476,34.5475
