Quarter,Y_actual,Y_prev,n_train,pred_Naive,pred_HistMean,pred_AR1,pred_Cloud,pred_Trends,pred_Cloud+Trends,pred_AR+Cloud+Trends
2024 Q4,25.11,26.02,7,26.02,26.9643,25.8037,27.1013,25.9286,25.1812,25.1785
2025 Q1,24.59,25.11,8,25.11,26.7325,25.3862,28.4817,25.9944,24.2492,21.9103
2025 Q2,28.12,24.59,9,24.59,26.4944,25.0842,26.8475,25.3584,24.5102,24.6906
2025 Q3,28.35,28.12,10,28.12,26.657,26.6209,26.7337,25.7484,25.6018,31.4257
2025 Q4,29.21,28.35,11,28.35,26.8109,26.8502,28.1359,29.2962,29.288,20.3569
2026 Q1,32.15,29.21,12,29.21,27.0108,27.3169,29.053,28.5,28.5314,27.9152
2026 Q2,35.64,32.15,13,32.15,27.4062,28.6637,32.4544,28.9777,30.3586,30.432
