spec,k,n,pearson,spearman
Cloud(t+1),-1,17,0.1754330250349232,0.36764705882352944
Cloud(t),0,18,0.45506754729789106,0.6780185758513931
Cloud(t-1),1,17,0.7117477920681997,0.7475490196078433
Cloud(t-2),2,16,0.8573335909222788,0.7029411764705883
Cloud(t-3),3,15,0.7857455740952168,0.5392857142857141
Cloud(t-4),4,14,0.32123883794011027,0.27472527472527475
